dl.smv	dl.lola		dl.mcm	dl.clp			dl.smod			dl.cnmc					
needed	stat	time	needed	gen	solve	time	gen	solve	needed	gen	solve	sym	asym	dis	input
?	0	0.000	0.00	0.000	0.000	0.000	0.008	0.000	0.008	0.58	0.69	0.0	0.09	0.12	test/nets/other/buf100
?	0	0.000	0.10	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/other/cyclic_12.fsa
0.000	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/other/cyclic_3.fsa
7.420	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/other/cyclic_6.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.09	0.0	0.0	0.0	0.0	test/nets/other/cyclic_9.fsa
?	0	0.000	na	0.000	0.000	0.000	na	na	0.004	0.1	0.0	na	na	na	test/nets/other/dac_12.fsa
?	0	0.000	na	0.000	0.000	0.000	na	na	0.004	0.08	0.0	na	na	na	test/nets/other/dac_15.fsa
0.080	0	0.000	na	0.000	0.000	0.000	na	na	0.004	0.08	0.0	na	na	na	test/nets/other/dac_6.fsa
2.200	0	0.000	na	0.000	0.000	0.000	na	na	0.004	0.08	0.0	na	na	na	test/nets/other/dac_9.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.01	0.0	0.0	0.0	test/nets/other/dp_10.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.01	0.01	test/nets/other/dp_12.fsa
1.180	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/other/dp_6.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.17	0.0	0.0	0.01	0.0	test/nets/other/dp_8.fsa
0.280	0	0.010	0.00	0.000	0.000	0.000	0.004	0.004	0.008	0.19	0.01	0.0	0.0	0.01	test/nets/other/dpd_4.fsa
4.480	0	0.020	0.04	0.000	0.000	0.000	0.012	0.024	0.036	0.27	0.03	0.0	0.01	0.02	test/nets/other/dpd_5.fsa
?	0	0.060	0.40	0.000	0.000	0.010	0.020	0.148	0.168	0.46	0.08	0.01	0.02	0.04	test/nets/other/dpd_6.fsa
?	0	0.280	2.34	0.000	0.040	0.040	0.088	0.688	0.776	0.84	0.26	0.02	0.06	0.07	test/nets/other/dpd_7.fsa
?	error	error	0.02	0.000	0.000	0.020	0.016	0.000	0.016	0.21	0.01	0.0	0.0	0.01	test/nets/other/dpfm_11.fsa
0.000	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.0	0.0	test/nets/other/dpfm_2.fsa
0.040	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.0	0.0	test/nets/other/dpfm_5.fsa
?	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/other/dpfm_8.fsa
0.540	0	0.090	0.00	0.000	0.000	0.000	0.004	0.004	0.008	0.11	0.01	0.0	0.0	0.01	test/nets/other/dph_4.fsa
24.080	0	0.920	0.26	0.000	0.000	0.010	0.016	0.020	0.036	0.3	0.04	0.01	0.01	0.02	test/nets/other/dph_5.fsa
?	0	1.720	12.80	0.000	0.060	0.080	0.280	0.556	0.836	1.0	0.3	0.01	0.04	0.08	test/nets/other/dph_6.fsa
?	0	12.170	?	0.000	0.760	0.820	4.009	14.652	18.661	3.68	3.22	0.07	0.31	0.44	test/nets/other/dph_7.dlmcs
?	0	12.860	?	0.000	0.820	0.880	4.017	14.632	18.649	3.72	3.55	0.08	0.31	0.43	test/nets/other/dph_7.fsa
?	error	error	0.16	0.000	0.040	0.080	0.044	0.000	0.044	3.45	2.85	0.08	0.62	0.62	test/nets/other/fifo20
8.140	0	0.000	0.00	0.000	0.000	0.000	0.000	0.004	0.004	0.1	0.0	0.0	0.0	0.01	test/nets/other/gas_nq_2.fsa
?	0	0.200	0.58	0.000	0.000	0.010	0.012	0.068	0.080	0.18	0.08	0.0	0.01	0.01	test/nets/other/gas_nq_3.fsa
?	error	error	53.48	0.000	0.300	0.310	0.300	2.028	2.328	0.97	1.86	0.02	0.07	0.11	test/nets/other/gas_nq_4.fsa
?	error	error	?	0.000	7.420	7.500	6.332	133.780	140.112	6.0	154.35	0.13	0.76	0.73	test/nets/other/gas_nq_5.fsa
0.080	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/other/gas_q_1.fsa
6.060	0	0.010	0.00	0.000	0.000	0.000	0.000	0.004	0.004	0.11	0.01	0.0	0.0	0.01	test/nets/other/gas_q_2.fsa
?	error	error	0.32	0.000	0.000	0.010	0.012	0.068	0.080	0.23	0.09	0.0	0.01	0.02	test/nets/other/gas_q_3.fsa
?	error	error	66.06	0.000	0.320	0.360	0.388	2.380	2.768	1.19	5.31	0.03	0.07	0.14	test/nets/other/gas_q_4.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.012	0.016	0.13	0.01	0.0	0.0	0.01	test/nets/other/hartstone_100.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/other/hartstone_25.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.008	0.000	0.008	0.11	0.0	0.0	0.01	0.0	test/nets/other/hartstone_50.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.008	0.004	0.012	0.12	0.0	0.0	0.0	0.01	test/nets/other/hartstone_75.fsa
0.020	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/other/over_2.fsa
0.360	0	0.020	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.14	0.0	0.0	0.0	0.0	test/nets/other/over_3.fsa
8.580	0	0.810	0.02	0.000	0.000	0.000	0.008	0.000	0.008	0.2	0.0	0.0	0.01	0.01	test/nets/other/over_4.fsa
?	0	2.900	1.10	0.000	0.020	0.020	0.064	0.012	0.076	0.5	0.12	0.01	0.03	0.05	test/nets/other/over_5.fsa
0.420	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.0	0.0	test/nets/other/ring_3.fsa
?	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.14	0.0	0.0	0.0	0.0	test/nets/other/ring_5.fsa
?	0	0.060	0.00	0.000	0.000	0.000	0.004	0.012	0.016	0.16	0.02	0.0	0.01	0.01	test/nets/other/ring_7.fsa
?	0	0.920	0.02	0.000	0.000	0.000	0.012	0.056	0.068	0.21	0.0	0.0	0.01	0.02	test/nets/other/ring_9.fsa
2.540	0	0.020	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.0	0.0	test/nets/other/rrr10-1
?	0	0.690	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.01	0.0	test/nets/other/rrr20-1
?	0	2.770	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.12	0.0	0.0	0.0	0.0	test/nets/other/rrr30-1
?	error	error	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.0	0.0	test/nets/other/rrr50-1
7.200	0	0.650	?	0.000	0.240	0.330	10.120	0.008	10.128	4.54	0.5	0.07	0.05	0.41	test/nets/other/rw_12.fsa
0.020	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.13	0.0	0.0	0.0	0.01	test/nets/other/rw_6.fsa
0.480	0	0.050	1.20	0.000	0.000	0.010	0.180	0.000	0.180	0.48	0.0	0.01	0.0	0.03	test/nets/other/rw_9.fsa
0.000	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/other/sem
?	0	0.410	42.04	0.000	0.400	0.440	0.464	0.228	0.692	1.1	0.0	0.03	0.06	0.15	test/nets/plain/large/bds_1.sync
?	killed	error	?	0.000	1.060	1.090	0.424	87.941	88.365	1.8	0.0	0.07	0.3	0.32	test/nets/plain/large/byzagr4_1b
?	0	8.580	87.48	0.000	0.260	0.280	0.420	5.924	6.344	1.14	3.26	0.04	0.1	0.18	test/nets/plain/large/dpd_7.sync
?	0	0.220	1.92	0.000	0.020	0.060	0.312	2.112	2.424	1.74	0.89	0.03	0.18	0.21	test/nets/plain/large/elevator_4
?	0	0.200	1.94	0.000	0.020	0.060	0.380	1.676	2.056	1.72	0.96	0.03	0.17	0.22	test/nets/plain/large/elevator_4.dlmcs.sync
?	0	0.190	1.94	0.000	0.020	0.060	0.308	2.168	2.476	1.76	0.87	0.03	0.19	0.22	test/nets/plain/large/elevator_4.fsa
?	error	error	28.60	0.000	0.840	0.880	0.496	14.932	15.428	1.61	4.22	0.05	0.11	0.24	test/nets/plain/large/elevator_4.old
?	killed	killed	?	0.000	0.660	0.800	5.076	57.415	62.491	11.45	0.0	0.24	1.77	1.24	test/nets/plain/large/ftp_1.fsa
?	killed	killed	?	0.000	4.800	4.970	8.929	299.046	307.975	11.23	0.0	0.32	1.96	1.34	test/nets/plain/large/ftp_1.sync
?	0	0.720	110.66	0.000	0.280	0.310	1.100	0.484	1.584	2.04	0.0	0.06	0.12	0.31	test/nets/plain/large/furnace_3
4.520	0	0.420	5.68	0.000	0.060	0.080	0.312	0.048	0.360	1.62	0.57	0.03	0.08	0.2	test/nets/plain/large/furnace_3.fsa
?	0	9.300	?	0.000	4.700	4.920	28.378	9.600	37.978	16.96	11.07	0.35	2.19	1.72	test/nets/plain/large/furnace_4
